,group,cell_name,sweep_num,input_current,rest_potential,stim_potential,t_first_spike,t_last_spike,f_rate,AP_amp,AP_adaptation,AP_rise_slope,t_hyperpol,v_hyperpol
65,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,0,-400.0,-70.72789764404297,-101.90090942382812,,,0,,,,,
66,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,1,-200.0,-70.76844024658203,-90.96844482421875,,,0,,,,,
67,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,2,0.0,-71.61970520019531,-71.61970520019531,,,0,,,,,
68,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,3,200.0,-70.16941833496094,-43.63068771362305,,,0,,,,,
69,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,4,400.0,-71.45433044433594,-41.049949645996094,4.699999999999989,491.70000000000005,114.98973305954824,27.98169506419961,131.9328953447354,142.033447265625,0.9236363636363637,-55.54545454545455
70,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,5,600.0,-72.30989074707031,-36.37788009643555,2.9000000000000057,495.80000000000007,174.4775816595658,28.912096499880032,62.393951832975446,128.14100646972656,0.9552941176470588,-51.188235294117646
71,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,6,800.0,-73.2580795288086,-31.80413818359375,2.0999999999999943,495.70000000000005,210.69692058346837,27.50959599645926,77.05237451667924,110.20073699951172,0.9970873786407765,-46.55339805825243
72,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,7,1000.0,-73.82825469970703,-27.143878936767578,1.6999999999999886,495.4,228.88393761393561,28.140440245502575,86.27110330460172,86.41200256347656,1.1044247787610617,-41.256637168141594
73,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,8,1200.0,-74.23844146728516,-22.166486740112305,1.5,403.79999999999995,246.08501118568236,26.592415436292498,145.02254561714543,58.9651985168457,1.126530612244898,-35.744897959183675
74,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,9,1400.0,-74.1405029296875,-17.5261287689209,1.1999999999999886,158.59999999999997,285.8958068614994,28.902002432634177,127.6482338937554,64.70235443115234,1.0955555555555556,-33.644444444444446
75,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,10,1600.0,-73.6386489868164,-14.580645561218262,1.1000000000000085,102.10000000000001,297.029702970297,31.700153743538092,82.0966674593983,65.25421142578125,1.0870967741935484,-30.967741935483872
76,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,11,1800.0,-73.63424682617188,-12.065863609313965,1.0,70.8,329.512893982808,32.44514473434958,67.13643952033466,66.92305755615234,6.170454545454546,-21.363636363636363
77,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,12,2000.0,-72.32711029052734,-9.661334037780762,0.7999999999999972,55.499999999999986,347.3491773308959,36.97857500231769,25.035358744927688,66.05449676513672,0.7722580645161291,-10.125806451612902
78,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,0,-400.0,-91.50320434570312,-191.0675811767578,,,0,,,,,
79,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,1,-200.0,-89.52615356445312,-149.10105895996094,,,0,,,,,
80,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,2,0.0,-89.42507934570312,-89.42507934570312,,,0,,,,,
81,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,3,200.0,-89.93157196044922,-62.956764221191406,3.5,495.6,123.9585450111766,25.89708159961036,46.75268855006599,137.21153259277344,1.3650000000000007,-84.88333333333334
82,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,4,400.0,-90.2699203491211,-53.526580810546875,2.0999999999999943,498.9,183.17230273752014,27.02601866385843,52.377284467256985,109.02051544189453,1.3544444444444448,-76.05555555555556
83,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,5,600.0,-90.88009643554688,-45.69316864013672,1.6999999999999886,497.0,211.99273167777105,25.744548937194963,76.69171767076027,75.50688171386719,1.3701923076923077,-66.63461538461539
84,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,6,800.0,-91.07742309570312,-36.074119567871094,1.3999999999999915,497.19999999999993,135.13513513513513,23.713838828059522,152.45547125021227,52.70454406738281,1.332,-59.5
85,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,7,1000.0,-89.70094299316406,-29.939767837524414,1.1999999999999886,321.6,102.99625468164793,31.363851054409892,56.46984795293986,56.87089538574219,1.2920000000000003,-54.92
86,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,8,1200.0,-89.49112701416016,-25.66905975341797,1.1000000000000085,90.7,279.01785714285717,35.973811638894915,32.233795328050626,51.492919921875,1.2684210526315791,-48.73684210526316
87,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,9,1400.0,-88.81065368652344,-21.575965881347656,1.0,46.499999999999986,307.6923076923078,42.81508313383274,15.530172125331422,67.59098815917969,1.2230769230769234,-44.76923076923077
88,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,10,1600.0,-89.49026489257812,-18.289634704589844,0.8999999999999915,34.3,329.3413173652694,45.076592092869866,11.16608040788322,72.98833465576172,1.2181818181818185,-40.72727272727273
89,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,11,1800.0,-89.9092788696289,-14.833407402038574,0.8999999999999915,26.90000000000002,346.15384615384573,51.78495210545217,7.493331221170506,74.42898559570312,1.2100000000000002,-34.5
90,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,12,2000.0,-90.27056884765625,-11.507001876831055,0.8999999999999915,23.299999999999997,357.14285714285705,54.94045058631094,6.324546228657492,71.86317443847656,5.256756756756757,-16.324324324324323
91,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,0,-400.0,-72.11649322509766,-95.65104675292969,,,0,,,,,
92,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,1,-200.0,-71.76266479492188,-86.40597534179688,,,0,,,,,
93,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,2,0.0,-71.6886978149414,-71.6886978149414,,,0,,,,,
94,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,3,200.0,-71.87618255615234,-44.887107849121094,,,0,,,,,
95,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,4,400.0,-72.09587860107422,-34.3359260559082,6.599999999999994,230.3,62.58381761287438,33.28155724550227,475.8213223806469,145.83042907714844,1.261538461538462,-50.53846153846154
96,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,5,600.0,-71.45825958251953,-31.444625854492188,3.9000000000000057,497.9,115.38461538461539,35.117004548825456,86.3060533610597,114.25753784179688,1.348214285714286,-44.0
97,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,6,800.0,-71.87454986572266,-26.149450302124023,2.9000000000000057,493.1,142.7988576091391,35.97387191882109,80.0993536207071,94.59904479980469,1.4043478260869566,-38.88405797101449
98,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,7,1000.0,-72.23552703857422,-21.115375518798828,2.299999999999997,493.29999999999995,162.9327902240326,36.53963947441353,79.36243572094726,71.48456573486328,1.439240506329114,-33.75949367088607
99,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,8,1200.0,-72.30836486816406,-14.999846458435059,1.9000000000000057,296.40000000000003,186.75721561969436,36.80535547659306,111.38612682725639,58.64924240112305,1.4648148148148143,-29.22222222222222
100,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,9,1400.0,-72.60002136230469,-10.666784286499023,1.6000000000000085,172.09999999999997,205.2785923753666,37.68796303223608,145.25010230690867,57.63462448120117,0.68125,-10.671052631578947
101,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,10,1600.0,-72.45455932617188,-7.210559368133545,1.3999999999999915,117.80000000000003,223.36769759450164,40.58382000680512,79.63956067898394,59.78511047363281,0.6776699029126214,-7.268608414239482
102,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,11,1800.0,-72.13766479492188,-3.8425047397613525,1.2999999999999972,89.3,250.0,42.55973673770351,74.90543666261206,58.92320251464844,0.6713855421686746,-3.6867469879518073
103,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,12,2000.0,-71.97966766357422,-0.4847045838832855,1.1999999999999886,64.8,267.2955974842767,47.069966708469074,27.918711510047284,61.55575180053711,0.6790909090909092,-0.9333333333333333
104,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,0,-400.0,-71.24613189697266,-102.20320892333984,,,0,,,,,
105,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,1,-200.0,-69.8647689819336,-88.71290588378906,,,0,,,,,
106,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,2,0.0,-69.90223693847656,-69.90223693847656,,,0,,,,,
