,group,cell_name,input_current,f_rate,t_last_spike,R,Tau,sweep,rest_potential
61,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,1400.0,201.9793981013937,497.4,59.0802,4.28233,9,-73.99921006422777
62,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,1600.0,214.9457613499397,499.80000000000007,59.0802,4.28233,10,-73.99921006422777
63,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,1800.0,226.1255804562891,497.1,59.0802,4.28233,11,-73.99921006422777
64,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,2000.0,232.74478330658107,499.9,59.0802,4.28233,12,-73.99921006422777
65,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,-400.0,0.0,,102.334,5.12691,0,-72.47038210355319
66,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,-200.0,0.0,,102.334,5.12691,1,-72.47038210355319
67,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,0.0,0.0,,102.334,5.12691,2,-72.47038210355319
68,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,200.0,0.0,,102.334,5.12691,3,-72.47038210355319
69,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,400.0,114.98973305954823,491.7000000000001,102.334,5.12691,4,-72.47038210355319
70,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,600.0,174.4775816595658,495.80000000000007,102.334,5.12691,5,-72.47038210355319
71,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,800.0,210.6969205834684,495.7000000000001,102.334,5.12691,6,-72.47038210355319
72,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,1000.0,228.8839376139356,495.4,102.334,5.12691,7,-72.47038210355319
73,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,1200.0,246.08501118568242,403.8,102.334,5.12691,8,-72.47038210355319
74,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,1400.0,285.0061957868649,162.59999999999997,102.334,5.12691,9,-72.47038210355319
75,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,1600.0,295.47553093259467,109.4,102.334,5.12691,10,-72.47038210355319
76,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,1800.0,90.5614811833367,497.9,102.334,5.12691,11,-72.47038210355319
77,Naive DLS,20190227_PV_DLS_s1c1_0000.abf,2000.0,326.2642740619903,62.09999999999998,102.334,5.12691,12,-72.47038210355319
78,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,-400.0,0.0,,289.304,8.41373,0,-90.0220219538762
79,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,-200.0,0.0,,289.304,8.41373,1,-90.0220219538762
80,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,0.0,0.0,,289.304,8.41373,2,-90.0220219538762
81,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,200.0,123.95854501117658,495.6,289.304,8.41373,3,-90.0220219538762
82,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,400.0,183.17230273752014,498.9,289.304,8.41373,4,-90.0220219538762
83,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,600.0,211.99273167777105,497.0,289.304,8.41373,5,-90.0220219538762
84,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,800.0,229.4197031039136,223.7,289.304,8.41373,6,-90.0220219538762
85,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,1000.0,268.595041322314,98.0,289.304,8.41373,7,-90.0220219538762
86,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,1200.0,286.12303290414883,71.00000000000001,289.304,8.41373,8,-90.0220219538762
87,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,1400.0,307.6923076923078,46.49999999999999,289.304,8.41373,9,-90.0220219538762
88,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,1600.0,321.71581769436983,38.2,289.304,8.41373,10,-90.0220219538762
89,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,1800.0,148.64864864864862,74.89999999999998,289.304,8.41373,11,-90.0220219538762
90,Naive DLS,20190215_PV_DLS_s1c3_0000.abf,2000.0,85.16360376512776,447.09999999999985,289.304,8.41373,12,-90.0220219538762
91,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,-400.0,0.0,,73.3334,3.95664,0,-72.04527165339543
